Synonym,Root Canonical Name
Lophiosphaera hederae,Lophiostoma angustilabrum var. angustilabrum
Lophiosphaera sexnucleatum,Lophiostoma angustilabrum var. angustilabrum
Sphaeria angustilabra,Lophiostoma angustilabrum var. angustilabrum
Lophiostoma sexnucleata,Lophiostoma angustilabrum var. angustilabrum
Lophiostoma hederae,Lophiostoma angustilabrum var. angustilabrum
Lophiotrema angustilabrum,Lophiostoma angustilabrum var. angustilabrum
Lophiotrema hederae,Lophiostoma angustilabrum var. angustilabrum
Lophiotrema sexnucleatum,Lophiostoma angustilabrum var. angustilabrum
Lichen fragilis,Sphaerophorus fragilis
Lichen melanocarpus,Bunodophoron melanocarpum
Sphaerophorus compressus,Bunodophoron melanocarpum
Sphaerophorus melanocarpus,Bunodophoron melanocarpum
Sphaerophorus coralloides var. compressus,Bunodophoron melanocarpum
Agaricus caelatus,Rhodocybe caelata
Tricholoma caelatum,Rhodocybe caelata
Clitopilus caelatus,Rhodocybe caelata
Calicium claviculare var. roscidum,Calicium adspersum
Marasmius menieri,Gloiocephala menieri
Marasmius cornelii,Gloiocephala cornelii
Agaricus amianthinus var. broadwoodiae,Lepiota amianthina var. broadwoodiae
Agaricus acris,Lactarius acris
Agaricus lactifluus var. acris,Lactarius acris
Collema subgen. Lathagrium,Lathagrium
Cladonia coccifera var. deformis,Cladonia sulphurina
Cladonia deformis,Cladonia sulphurina
Cladonia deformis f. gonecha,Cladonia sulphurina
Scyphophorus deformis,Cladonia sulphurina
Scyphophorus sulphurinus,Cladonia sulphurina
Cladonia gonecha,Cladonia sulphurina
Conocybe siliginea var. pallidospora,Conocybe pallidospora
Usnea plicata,Usnea ceratina
Usnea rubiginea,Usnea rubicunda
Usnea rubiginosa,Usnea rubicunda
Usnea protensa,Usnea rubicunda
Usnea sublurida,Usnea rubicunda
Sphaeria immunda,Hypospila immunda
Isothea immunda,Hypospila immunda
Agaricus canofaciens,Psilocybe canofaciens
Microsphaera hedwigii,Erysiphe hedwigii
Badimiella,Cyphella
Pluteus petasatus,Pluteus salicinus
Agaricus salicinus,Pluteus salicinus
Pluteus salicinus var. floccosus,Pluteus salicinus
Pluteus salicinus var. beryllus,Pluteus salicinus
Melogramma homaleum,Cucurbitaria homalea
Aureobasidium prunorum,Hormonema prunorum
Agaricus excoriatus,Macrolepiota excoriata
Lepiota procera � excoriata,Macrolepiota excoriata
Lepiota excoriata,Macrolepiota excoriata
Leucocoprinus excoriatus,Macrolepiota excoriata
Leucoagaricus excoriatus,Macrolepiota excoriata
Leucocoprinus heimii,Macrolepiota excoriata
Macrolepiota heimii,Macrolepiota excoriata
Lepiota heimii,Macrolepiota excoriata
Agaricus lubricus,Pholiota lubrica
Agaricus decussatus,Pholiota lubrica
Flammula lubrica,Pholiota lubrica
Flammula decussata,Pholiota lubrica
Dryophila lubrica,Pholiota lubrica
Pholiota groenlandica,Pholiota lubrica
Pholiota decussata,Pholiota lubrica
Hygrophorus foetens,Camarophyllopsis foetens
Agaricus abhorrens,Camarophyllopsis foetens
Omphalina abhorrens,Camarophyllopsis foetens
Omphalia abhorrens,Camarophyllopsis foetens
Camarophyllus foetens,Camarophyllopsis foetens
Hygrocybe foetens,Camarophyllopsis foetens
Hygrotrama foetens,Camarophyllopsis foetens
Podoscyphaceae,Meruliaceae
Steccherinaceae,Meruliaceae
Hyphodermataceae,Meruliaceae
Phoma minutispora,Westerdykella minutispora
Clitopilus cretatus,Clitopilus scyphoides var. scyphoides
Pleurotus passeckerianus,Clitopilus passeckerianus
Lachnea hybrida var. lapidaria,Tricharina gilva
Peziza gilva,Tricharina gilva
Peziza hybrida,Trichophaea hybrida
Lachnea lapidaria,Tricharina gilva
Peziza lapidaria,Tricharina gilva
Lachnea gilva,Tricharina gilva
Tricharia gilva,Tricharina gilva
Ciliaria lapidaria,Tricharina gilva
Stilbospora asterosperma,Asterosporium asterospermum
Chytridium versatile var. acaule,Chytridium versatile
Dioszegia,Cryptococcus
Mrakiella,Cryptococcus
Psalliota comtula,Agaricus comtulus
Agaricus niveolutescens,Agaricus comtulus
Agaricus psammocephalus,Cortinarius angelesianus
Galerina albotomentosa,Naucoria albotomentosa
Stemphylium triglochinicola,Pleospora triglochinicola
Agaricus polystictus,Lepiota polysticta
Hemiarcyria calyculata,Hemitrichia calyculata
Hemiarcyria stipitata,Hemitrichia calyculata
Hemitrichia stipitata,Hemitrichia calyculata
Spiloma melaleucum var. leucopellaeum,Felipes leucopellaeus
Arthonia leucopellaea,Felipes leucopellaeus
Pistillina stilboidea,Physalacria stilboidea
Conocybe cf. anthracophila,Conocybe
Conocybe cf. aporos,Conocybe
Conocybe cf. appendiculata,Conocybe
Conocybe cf. atriceps,Conocybe
Conocybe cf. brachypodii,Conocybe
Conocybe cf. brunneola,Conocybe
Conocybe cf. dunensis,Conocybe
Conocybe cf. exannulata,Conocybe
Conocybe cf. farinacea,Conocybe
Conocybe cf. filaris,Conocybe
Conocybe cf. fragilis,Conocybe
Conocybe cf. fuscimarginata,Conocybe
Conocybe cf. hadrocystis,Conocybe
Conocybe cf. inocybeoides,Conocybe
