Synonym,Root Canonical Name
Volvaria murinella var. umbonata,Volvariella taylorii
Volvariella pusilla var. taylorii,Volvariella taylorii
Venturia cucumerina,Monographella cucumerina
Plectosphaerella cucumeris,Monographella cucumerina
Cephalosporium tabacinum,Monographella cucumerina
Fusarium tabacinum,Monographella cucumerina
Micronectriella cucumeris,Monographella cucumerina
Plectosphaerella cucumerina,Monographella cucumerina
Microdochium tabacinum,Monographella cucumerina
Hydnangium hysterangioides,Sclerogaster hysterangioides
Anthopeziza,Microstoma
Gongromeriza,Chloridium
Cirrhomyces,Chloridium
Bisporomyces,Chloridium
Pleospora vagans,Phaeosphaeria vagans
Lepiota helveola,Lepiota brunneoincarnata
Stachylidium theobromae,Musicillium theobromae
Verticillium theobromae,Musicillium theobromae
Spilomium graphideorum,Milospium graphideorum
Coniothecium graphideorum,Milospium graphideorum
Dendryphiella arenariae,Paradendryphiella arenariae
Scolecobasidium arenarium,Paradendryphiella arenariae
Helotium ochraceum,Pachydisca ochracea
Agaricus sistratus,Cystolepiota seminuda
Phoma lathyrina,Phomopsis lathyrina
Grandinia deflectens,Phanerochaete deflectens
Corticium umbratum,Phanerochaete deflectens
Phlebia umbrata,Phanerochaete deflectens
Phlebia deflectens,Phanerochaete deflectens
Thelephora zygodesmoides,Tomentellopsis zygodesmoides
Tomentella zygodesmoides,Tomentellopsis zygodesmoides
Hypochnus zygodesmoides,Tomentellopsis zygodesmoides
Sphaeria dothidea,Botryosphaeria dothidea
Dothidea rosae,Botryosphaeria dothidea
Agaricus proletarius,Entoloma undatum
Lachnea lecothecioides,Trichophaea lecothecioides
Pyrenula nitida f. geographica,Pyrenula chlorospila
Pyrenula nitida f. minor,Pyrenula chlorospila
Sphaeria nitida,Pyrenula chlorospila
Pyrenula nitida var. nitida,Pyrenula chlorospila
Zukalia europaea,Ceramothyrium europaeum
Cheilaria coryli,Piggotia coryli
Monostichella coryli,Piggotia coryli
Sphaeria papaverea,Rosellinia papaverea
Sphaeria translucens,Leucostoma translucens
Agaricus rhodoxanthus,Phylloporus pelletieri
Wettsteinina marina,Lautitia danica
Verrucaria affinis,Porina aenea
Verrucaria carpinea,Porina aenea
Verrucaria aenea,Porina aenea
Verrucaria fusiformis,Porina aenea
Porina carpinea,Porina aenea
Porina chlorotica var. carpinea,Porina aenea
Pseudosagedia aenea,Porina aenea
Trichothelium aeneum,Porina aenea
Peniophora glebulosa subsp. accedens,Tubulicrinis accedens
Peniophora accedens,Tubulicrinis accedens
Corticium pearsonii,Paullicorticium pearsonii
Ceratobasidium pearsonii,Paullicorticium pearsonii
Hypochnus asperulus,Tomentella asperula
Botrytis asperula,Tomentella asperula
Tomentella gibbosa,Tomentella asperula
Cladonia nemoxyna,Cladonia fimbriata
Calloria leightonii,Hyalinia leightonii
Orbilia leightonii,Hyalinia leightonii
Phellinus cf. contiguus,Phellinus
Phellinus cf. ferreus,Phellinus
Phellinus cf. ferruginosus,Phellinus
Phellinus cf. igniarius,Phellinus
Phellinus cf. pomaceus,Phellinus
Phellinus ferreus/ferruginosus,Phellinus
Fulvifomes,Phellinus
Peziza subtilissima,Lachnellula subtilissima
Lachnella subtilissima,Lachnellula subtilissima
Dasyscyphus subtilissimus,Lachnellula subtilissima
Trichoscypha subtilissima,Lachnellula subtilissima
Helotium scolochloae,Calycina scolochloae
Belonidium scolochloae,Calycina scolochloae
Calycella scolochloae,Calycina scolochloae
Bisporella scolochloae,Calycina scolochloae
Pleospora tritici-repentis,Pyrenophora tritici-repentis
Sphaeria trichostoma,Pyrenophora tritici-repentis
Pleospora trichostoma,Pyrenophora tritici-repentis
Pyrenophora trichostoma,Pyrenophora tritici-repentis
Sphaeria culmorum,Ophiobolus culmorum
Pleospora culmorum,Pyrenophora tritici-repentis
Lichen sylvaticus,Sticta sylvatica
Stictina sylvatica,Sticta sylvatica
Peziza chavetiae,Eriopezia caesia
Peziza caesia,Eriopezia caesia
Tapesia caesia,Eriopezia caesia
Trichopeziza caesia,Eriopezia caesia
Sphaeria carpophila,Xylaria carpophila
Xylosphaera carpophila,Xylaria carpophila
Xerocomus porosporus,Boletus porosporus
Xerocomellus porosporus,Boletus porosporus
Lecidea leucoblephara,Byssoloma leucoblepharum
Psilocybe callosa,Psilocybe strictipes
Psilocybe semilanceata var. caerulescens,Psilocybe strictipes
Agaricus semilanceatus var. caerulescens,Psilocybe strictipes
Torula aeria,Cryptococcus aerius
Torulopsis aeria,Cryptococcus aerius
Cryptococcus albidus var. aerius,Cryptococcus aerius
Lichen viridescens,Trapeliopsis viridescens
Lecidea viridescens,Trapeliopsis viridescens
Biatora viridescens,Trapeliopsis viridescens
Micarea viridescens,Trapeliopsis viridescens
Parmelia somlo�nsis,Xanthoparmelia somlo�nsis
Sphaeria deusta,Kretzschmaria deusta
Hypoxylon ustulatum,Kretzschmaria deusta
Sphaeria maxima,Kretzschmaria deusta
Nemania deusta,Kretzschmaria deusta
Stromatosphaeria deusta,Kretzschmaria deusta
Hypoxylon deustum,Kretzschmaria deusta
Ustulina vulgaris,Kretzschmaria deusta
Ustulina deusta,Kretzschmaria deusta
Barya,Neobarya
Agaricus squarrosoides,Pholiota squarrosoides
Bacidia sphaeroides,Micarea alabastrites
Biatora vernalis,Bilimbia sabuletorum
Bilimbia sphaeroides,Micarea alabastrites
Bilimbia sphaeroides f. dolosa,Bilimbia sabuletorum
Lichen sabuletorum,Bilimbia sabuletorum
Lecidea hypnophila,Bilimbia sabuletorum
Lecidea sabuletorum,Bilimbia sabuletorum
Lecidea metamorphea,Bilimbia sabuletorum
Biatora hypnophila,Bilimbia sabuletorum
Bilimbia hypnophila,Bilimbia sabuletorum
Bilimbia accedens,Bilimbia sabuletorum
Bilimbia sabuletorum var. accedens,Bilimbia sabuletorum
Lecidea lubens,Bilimbia sabuletorum
Lecidea subretrusa,Bilimbia sabuletorum
Lecidea metamorphea subsp. septenaria,Bilimbia sabuletorum
Bilimbia metamorphea,Vezdaea aestivalis
Bacidia hypnophila,Bilimbia sabuletorum
Bilimbia lubens,Bilimbia sabuletorum
Bilimbia sabuletorum var. septenaria,Bilimbia sabuletorum
Bacidia accedens,Bilimbia sabuletorum
Bacidia metamorphea,Bilimbia sabuletorum
Bacidia sabuletorum,Bilimbia sabuletorum
Bilimbia sabuletorum f. viridis,Bilimbia sabuletorum
Bilimbia sabuletorum subsp. lubens,Bilimbia sabuletorum
Bacidia sabuletorum f. viridis,Bilimbia sabuletorum
Bilimbia sabuletorum var. angustispora,Bilimbia sabuletorum
Bacidia sabuletorum var. angustispora,Bilimbia sabuletorum
Bilimbia hypnophila var. septenaria,Bilimbia sabuletorum
Mycobilimbia sabuletorum,Bilimbia sabuletorum
Mycobilimbia accedens,Bilimbia sabuletorum
Myxobilimbia accedens,Bilimbia sabuletorum
Myxobilimbia sabuletorum,Bilimbia sabuletorum
Xyloma andromedae,Rhytisma andromedae
Placuntium andromedae,Rhytisma andromedae
Licea applanata,Licea deplanata
Astrosporina scabella,Inocybe mixtilis
Podosphaera cf. fusca,Podosphaera
Podosphaera cf. leucotricha,Podosphaera
Podosphaera cf. pruinosa,Podosphaera
Podosphaera cf. xanthi,Podosphaera
Podosphaera cf. xanthii,Podosphaera
Ludwigiella asterina,Selenophoma asterina
Gymnosporangium cf. confusum,Gymnosporangium
Roestelia,Gymnosporangium
Podisoma,Gymnosporangium
Dictyuchus clavatus,Thraustotheca clavata
Ingoldia biappendiculata,Gyoerffyella biappendiculata
Tricladium biappendiculatum,Gyoerffyella biappendiculata
Cenangium dryinum,Pezicula cinnamomea
Scleroderris cinnamomea,Pezicula cinnamomea
Naemaspora grisea,Pezicula cinnamomea
Peziza cinnamomea,Pezicula cinnamomea
Dermatea quercina,Pezicula cinnamomea
Pezicula quercina,Pezicula cinnamomea
Stigmatea alni,Pezicula cinnamomea
Dermatea dryina,Pezicula cinnamomea
Dermatea cinnamomea,Pezicula cinnamomea
Pezicula dryina,Pezicula cinnamomea
Pezicula alni,Pezicula cinnamomea
Cryptosporiopsis grisea,Pezicula cinnamomea
Cryptosporiopsis quercina,Pezicula cinnamomea
Arthopyrenia analepta,Arthopyrenia salicis
Arthopyrenia epidermidis var. atomaria,Arthopyrenia salicis
Arthopyrenia rhyponta,Stigmidium microspilum
Verrucaria epidermidis subsp. pyrenastrella,Arthopyrenia salicis
Lichen punctiformis,Arthopyrenia salicis
Verrucaria punctiformis,Arthopyrenia salicis
Arthopyrenia epidermidis,Arthopyrenia salicis
Arthopyrenia padi,Arthopyrenia salicis
Verrucaria epidermidis var. pyrenastrella,Arthopyrenia salicis
Arthopyrenia fumago,Arthopyrenia salicis
Arthopyrenia laburni,Arthopyrenia salicis
Arthonia cembrina,Arthopyrenia salicis
Verrucaria laburni,Arthopyrenia salicis
Arthopyrenia pyrenastrella,Arthopyrenia salicis
Arthopyrenia cembrina,Arthopyrenia salicis
Naetrocymbe punctiformis,Arthopyrenia salicis
Merulius borealis,Ceraceomyces borealis
Actinopeltis peltigericola,Lichenopeltella peltigericola
Micropeltopsis peltigericola,Lichenopeltella peltigericola
Lactarius hometii,Lactarius vellereus var. hometii
Agaricus zonarius,Lactarius evosmus
Agaricus circellatus,Lactarius circellatus
Agaricus rubricatus,Marasmius rubricatus
Naucoria rubricata,Marasmius rubricatus
Peziza austriaca,Sarcoscypha austriaca var. austriaca
Mycena debilis,Mycena smithiana
Rhodophyllus poliopus f. alpigenus,Entoloma poliopus var. alpigenum
Peziza claroflava,Calycina claroflava
Helotium claroflavum,Calycina claroflava
Calycella claroflava,Calycina claroflava
Bisporella claroflava,Calycina claroflava
Pyrenotea aphanes,Opegrapha vermicellifera
Phomopsis pseudotsugae,Allantophomopsiella pseudotsugae
Phacidiopycnis pseudotsugae,Allantophomopsiella pseudotsugae
Agaricus nefrens,Leptonia nefrens
Aecidium adoxae,Puccinia albescens
Aecidium albescens,Puccinia albescens
Sphaeria immersa,Eutypa leioplaca
Sphaeria leioplaca,Eutypa leioplaca
Lecanora spodomela,Halecania spodomela
Lecidea nigrificans,Halecania spodomela
Lecania spodomela,Halecania spodomela
Peltidea malacea,Peltigera malacea
Sphaeria lacustris,Wettsteinina lacustris
Massarina lacustris,Wettsteinina lacustris
Agaricus algeriensis,Pilosace algeriensis
Hebeloma repandum,Hebeloma bruchetii
Verrucaria cinereopruinosa,Anisomeridium ranunculosporum
Coryneum intermedium,Seiridium intermedium
Marasmius purpureogriseus,Collybia purpureogrisea
Melanconis tiliae,Hercospora tiliae
Valsa tiliae,Hercospora tiliae
Sphaeria tiliae,Splanchospora ampullacea
Rabenhorstia tiliae,Hercospora tiliae
Sphaeria tiliaginea,Hercospora tiliae
Valsa tiliaginea,Hercospora tiliae
Clavaria candida,Clavulinopsis candida
Fomes carneogriseus,Skeletocutis carneogrisea
Polyporus carneogriseus,Skeletocutis carneogrisea
Coryneum compactum,Thyrostroma compactum
Lichen scutelliferus,Tornabea scutellifera
Lichen intricatus,Lecanora intricata
Parmelia atlantica,Tornabea scutellifera
Lichen atlanticus,Tornabea scutellifera
Borrera atlantica,Tornabea scutellifera
Physcia intricata,Tornabea scutellifera
Anaptychia intricata,Tornabea scutellifera
Borrera intricata,Tornabea scutellifera
Tornabenia atlantica,Tornabea scutellifera
Tornabea atlantica,Tornabea scutellifera
Conisphaeria hysterioides,Zigno�lla hysterioides
Conocybe tenera f. macrocephala,Conocybe macrocephala
Conocybe abruptibulbosa,Conocybe macrocephala
Parmelia multifida,Arctoparmelia incurva
Lichen incurvus,Arctoparmelia incurva
Parmelia incurva,Arctoparmelia incurva
Xanthoparmelia incurva,Arctoparmelia incurva
Lycoperdon polyrhizum,Scleroderma polyrhizum
Scleroderma geaster,Scleroderma polyrhizum
Hysterium degenerans,Sporomega degenerans
Colpoma degenerans,Sporomega degenerans
Sphaeria crataegi,Diaporthe crataegi
Valsa crataegi,Diaporthe crataegi
Pseudovalsa crataegi,Diaporthe crataegi
Chorostate crataegi,Diaporthe crataegi
Septoria pleosporoides,Rhabdospora pleosporoides
Gymnoascus verrucosus,Amauroascus verrucosus
Cercoseptoria,Pseudocercospora
Magnusia,Kernia
Fusoma rubricosum,Mastigosporium rubricosum
Sphaeria alnea,Gnomonia alnea
Tympanis alnea,Gnomonia alnea
Plagiostoma alneum,Gnomonia alnea
Psalliota litoralis,Agaricus litoralis
Agaricus spissicaulis,Agaricus litoralis
Psalliota spissa,Agaricus litoralis
Agaricus maskae,Agaricus litoralis
Physalospora thistletonia,Pseudomassaria thistletonia
Torulopsis ingeniosa,Vanrija ingeniosa
Endodesmia glauca,Broomeola glauca
Agaricus volvaceus,Volvariella volvacea
Vaginata virgata,Volvariella volvacea
Volvaria volvacea,Volvariella volvacea
Amanita virgata,Volvariella volvacea
Athelia fuciformis,Laetisaria fuciformis
Polyactis depraedans,Cristulariella depraedans
Dochmolopha lonicerae,Seimatosporium lonicerae
Lecidea morio var. cinerea,Sporastatia polyspora
Gyrothecium polysporum,Sporastatia polyspora
Sporastatia cinerea,Sporastatia polyspora
Acarospora cinerea,Sporastatia polyspora
Chaetomium chartarum,Chaetomium globosum
Chaetomium fieberi var. chlorina,Chaetomium globosum
Chaetomium olivaceum,Chaetomium globosum
Chaetomium kunzeanum,Chaetomium globosum
Chaetomium cochliodes,Chaetomium globosum
Chaetomium chlorinum,Chaetomium globosum
Karlingia,Rhizophlyctis
Cyathus microsporus var. berkeleyanus,Cyathus berkeleyanus
Torulopsis pustula,Rhodotorula pustula
Physarum columbinum,Lamproderma columbinum
Stemonitis physaroides,Lamproderma columbinum
Lamproderma physaroides,Lamproderma columbinum
Lamproderma columbinum var. brevipes,Lamproderma columbinum
Agaricus hypnorum � bryophilus,Galera hypnorum var. bryorum
Agaricus bryorum,Galera hypnorum var. bryorum
Galera bryorum,Galera hypnorum var. bryorum
Corticium griseoflavescens,Phlebia griseoflavescens
Hyphoderma griseoflavescens,Phlebia griseoflavescens
Halophiobolus salinus,Lulworthia salina
Galera mycenoides,Galerina jaapii
Myriolecis hagenii,Lecanora dispersa
Astrosporina humilis,Inocybe humilis
Trichia axifera,Stemonitis axifera
Drosophila pseudogracilis,Psathyrella pseudogracilis
Coniothyrium subgen. Epithyrium,Epithyrium
Botrytis hepatica,Nodulisporium hepaticum
Ceratium porioides,Ceratiomyxa porioides
Ceratiomyxa fruticulosa var. porioides,Ceratiomyxa porioides
Ascosphaerales,Onygenales
Mucor aspergillus,Syzygites megalocarpus
Sporodinia grandis,Syzygites megalocarpus
Sporodinia aspergillus,Syzygites megalocarpus
Syzygites aspergillus,Syzygites megalocarpus
Syzygites grandis,Syzygites megalocarpus
Eleutherosphaera,Rhynchonectria
Micarea chrysophthalma,Chrysothrix flavovirens
Amphisphaeria obliterans,Melanomma obliterans
Conisphaeria obliterans,Melanomma obliterans
Sphaeria obliterans,Melanomma obliterans
Staurothele catalepta,Staurothele fissa
Verrucaria lithina,Staurothele fissa
Verrucaria umbrina,Staurothele fissa
Verrucaria fissa,Staurothele fissa
Endocarpon fissum,Staurothele fissa
Endocarpon lithinum,Staurothele fissa
Sphaeromphale umbrina,Staurothele fissa
Staurothele umbrina,Staurothele fissa
Lophiotrema massarioides,Lophiostoma massarioides
Uncinula regularis,Erysiphe adunca var. regularis
Uncinula adunca var. regularis,Erysiphe adunca var. regularis
Cenangium rhenanum,Rutstroemia rhenana
Sphaeria pupula,Splanchnonema pupula
Hercospora pupula,Splanchnonema pupula
Massaria pupula,Splanchnonema pupula
Exobasidium warmingii,Arcticomyces warmingii
Hyphopichia burtonii,Pichia burtonii
Stysanus pallescens,Graphium pallescens
Stereocaulon paschale f. subcoralloides,Stereocaulon subcoralloides
Galerina heterocystis,Galerina clavata
Galera fragilis var. clavata,Galerina clavata
Galera clavata,Galerina clavata
Uredo vitellinae,Melampsora salicis-albae
Melampsora vitellinae,Melampsora salicis-albae
Melampsora allii-salicis-albae,Melampsora salicis-albae
Agaricus chloroides,Russula chloroides
Russula delica var. chloroides,Russula chloroides
Poria terrestris,Byssocorticium terrestre
Boletus terrestris,Byssocorticium terrestre
Polyporus terrestris,Byssocorticium terrestre
Poria mollicula,Byssocorticium terrestre
Byssocorticium molliculum,Byssocorticium terrestre
Byssoporia terrestris,Byssocorticium terrestre
Phialophora lignicola,Lecythophora lignicola
Phomopsis moricola,Diaporthe mori
Agaricus rufidulus,Pholiota rufidula
Stysanus stemonitis var. fimetarius,Stysanus fimetarius
Ascochyta ribis,Mycosphaerella ribis
Septoria ribis,Mycosphaerella ribis
Sphaerella ribis,Mycosphaerella ribis
Phyllosticta grossulariae,Mycosphaerella ribis
Inocybe patouillardii,Inocybe erubescens
Armillaria mellea var. bulbosa,Armillaria gallica
Armillariella bulbosa,Armillaria gallica
Usnea laricina,Usnea glabrescens
Usnea sorediifera var. laricina,Usnea glabrescens
Usnea barbata var. glabrescens,Usnea glabrescens
Usnea extensa,Usnea glabrescens
Usnea glabrescens var. glabrella,Usnea glabrescens
Usnea glabrescens var. compacta,Usnea glabrescens
Usnea compacta,Usnea wasmuthii
Usnea distincta,Usnea wasmuthii
Usnea glabrella,Usnea glabrescens
Belonium pallens,Belonopsis pallens
Geastrum schaefferi,Geastrum rufescens
Geastrum vulgatum,Geastrum rufescens
Polyblastiopsis,Julella
Cladochytrium alfalfae,Physoderma alfalfae
Collemopsis leptogiella,Porocyphus leptogiella
Psorotichia leptogiella,Porocyphus leptogiella
Lemmopsis leptogiella,Porocyphus leptogiella
Agaricus aestuans,Tricholoma aestuans
Trochila diminuens,Hysteropezizella diminuens
Sphaerotheca cf. alpina,Sphaerotheca
Sphaerotheca cf. epilobii,Sphaerotheca
Sphaerotheca cf. euphorbiae,Sphaerotheca
Sphaerotheca cf. fuliginea,Sphaerotheca
Sphaerotheca cf. fusca,Sphaerotheca
Peniophora glebulosa subsp. juniperina,Tubulicrinis sororius
Peniophora glebulosa subsp. sororia,Tubulicrinis sororius
Peniophora juniperina,Tubulicrinis sororius
Tubulicrinis juniperinus,Tubulicrinis sororius
Peziza piggotii,Pyronema piggotii
Cryptosphaeria corniculata,Peroneutypa corniculata
Sphaeria occulta,Diaporthe eres
Sphaeria resecans,Diaporthe eres
Valsa resecans,Diaporthe eres
Sphaeria velata,Diaporthe eres
Phoma oblonga,Diaporthe eres
Sphaeria discutiens,Diaporthe eres
Phoma occulta,Diaporthe eres
Sphaeria controversa,Diaporthe eres
Sphaeria conorum,Diaporthe eres
Sphaeria badhamii,Diaporthe eres
Sphaeria ciliaris,Diaporthe eres
Sphaeria nucleata,Diaporthe eres
Sphaeria quadrinucleata,Diaporthe eres
Valsa occulta,Diaporthe eres
Diaporthe ambigua,Diaporthe eres
Diaporthe occulta,Diaporthe eres
Diaporthe protracta,Diaporthe eres
Diaporthe rehmii,Diaporthe eres
Diaporthe resecans,Diaporthe eres
Diaporthe velata,Diaporthe eres
Diaporthe cerasi,Diaporthe eres
Diaporthe controversa,Diaporthe eres
Valsa controversa,Diaporthe eres
Diaporthe ophites,Diaporthe eres
Diaporthe quercus,Diaporthe eres
Diaporthe obscurans,Diaporthe eres
Diaporthe conorum,Diaporthe eres
Diaporthe malbranchei,Diaporthe eres
Phoma ambigua,Diaporthe eres
Phoma velata,Diaporthe eres
Diaporthe viridarii,Diaporthe eres
Diaporthe badhamii,Diaporthe eres
Diaporthe brachyceras,Diaporthe eres
Diaporthe ciliaris,Diaporthe eres
Diaporthe discutiens,Diaporthe eres
Diaporthe nucleata,Diaporthe eres
Diaporthe quadrinucleata,Diaporthe eres
Diatrype badhamii,Diaporthe eres
Diatrype nucleata,Diaporthe eres
Phoma conorum,Diaporthe eres
Phoma controversa,Diaporthe eres
Phoma ophites,Diaporthe eres
Diaporthe rhododendri,Diaporthe eres
Phomopsis ambigua,Diaporthe eres
Phomopsis controversa,Diaporthe eres
Phomopsis oblonga,Diaporthe eres
Phomopsis occulta,Diaporthe eres
Phomopsis ophites,Diaporthe eres
Phomopsis velata,Diaporthe eres
Phomopsis conorum,Diaporthe eres
Phomopsis mali,Diaporthe eres
Lophium sassafras,Ostreichnion sassafras
Ostreichnion americanum,Ostreichnion sassafras
Ostreion americanum,Ostreichnion sassafras
Chytridium mammillatum,Rhizophydium mammillatum
Hypoderma sphaeroides var. empetri,Leptosphaeria empetri
Chalara longissima,Exochalara longissima
Phacopsis macrospora,Cercidospora macrospora
Cercidospora ulothii,Cercidospora macrospora
Polyporus epileucus,Coriolus epileucus
Apodachlya pirifera var. macrosporangia,Apodachlya pirifera
Diplodia deformis,Ascochyta deformis
Ascochytula deformis,Ascochyta deformis
Gabura,Arctomia
Aecidium erythronii,Uromyces erythronii
Uredo erythronii,Uromyces erythronii
Xyloma empetri,Duplicaria empetri
Rhytisma empetri,Duplicaria empetri
Hysterodiscula empetri,Duplicaria empetri
Clavatospora flagellata,Alatospora flagellata
Sclerotinia dennisii,Myriosclerotinia dennisii
Sclerotinia gregoriana,Myriosclerotinia dennisii
Cortinarius angulosus,Cortinarius renidens
Agaricus mastiger,Psathyra mastigera
Lecanora chlorophaeodes,Lecanora fugiens
Myriolecis fugiens,Lecanora fugiens
Psora wallrothii,Trapeliopsis wallrothii
Lecidea wallrothii,Scutula miliaris
Lecidea salweyi,Trapeliopsis wallrothii
Uredo hypodytes,Ustilago hypodytes
Caeoma hypodytes,Ustilago hypodytes
Tranzscheliella hypodytes,Ustilago hypodytes
Agaricus serenus,Leucoagaricus serenus
Pseudobaeospora serena,Leucoagaricus serenus
Sericeomyces serenus,Leucoagaricus serenus
Galactinia celtica,Peziza celtica
Pachyella celtica,Peziza celtica
Sphaeria leucostoma,Pertusaria leioplaca
Valsa leucostoma,Leucostoma persoonii
Valsa persoonii,Leucostoma persoonii
Cytospora leucostoma,Leucostoma persoonii
Agaricus wieslandri,Flammulaster wieslandri
Naucoria wieslandri,Flammulaster wieslandri
Phaeomarasmius wieslandri,Flammulaster wieslandri
Phacopsis mulleri,Skyttella mulleri
Agyrium flavescens,Skyttella mulleri
Odontotrema rhopalospermum,Phragmiticola rhopalospermum
Gloeosporium nobile,Gloeosporidiella nobilis
Hansenula polymorpha,Ogataea polymorpha
Pleospora macrospora,Paraleptosphaeria macrospora
Leptosphaeria macrospora,Paraleptosphaeria macrospora
Peziza aeruginosa,Chlorociboria aeruginosa
Chlorosplenium discoideum,Chlorociboria aeruginosa
Endophragmia boewei,Endophragmiella boewei
Psathyrella frustulenta,Psathyrella cortinarioides
Arrhenia cf. obscurata,Arrhenia
Arrhenia cf. velutipes,Arrhenia
Omphalia cf. rustica,Arrhenia
Omphalina cf. baeospora,Arrhenia
Omphalina cf. griseopallida,Arrhenia
Omphalina cf. obscurata,Arrhenia
Omphalina cf. rickenii,Arrhenia
Omphalina cf. rustica,Arrhenia
Corniola,Arrhenia
Leptoglossum,Arrhenia
Leptotus,Arrhenia
Dictyolus,Arrhenia
Phaeotellus,Arrhenia
Coniochaeta capillifera,Hypocopra capillifera
Lasiosphaeria capillifera,Hypocopra capillifera
Litschaueria capillifera,Hypocopra capillifera
Sphaeria capillifera,Hypocopra capillifera
Verrucaria ceuthocarpa,Verrucaria degelii
Comatricha solitaria,Paradiacheopsis solitaria
Cenangium amoena,Pezicula amoena
Dermatea amoena,Pezicula amoena
Porina glomerata,Pertusaria glomerata
Lichen albescens,Pertusaria albescens var. albescens
Variolaria discoidea,Pertusaria albescens var. albescens
Variolaria globulifera,Pertusaria albescens var. albescens
Pertusaria globulifera,Pertusaria albescens var. albescens
Pertusaria scutellata,Pertusaria albescens var. albescens
Pertusaria discoidea,Pertusaria albescens var. albescens
Pertusaria globulifera var. discoidea,Pertusaria albescens var. albescens
Peziza sulphurella,Incrucipulum sulphurellum
Dasyscyphus sulphurellus,Incrucipulum sulphurellum
Lachnum sulphurellum,Incrucipulum sulphurellum
Fusarium scirpi,Gibberella acuminata
Fusarium acuminatum,Gibberella acuminata
Rosellinia calospora,Gelasinospora calospora
Penicillium minioluteum,Talaromyces minioluteus
Lichen hypnorum,Psoroma hypnorum
Psoroma hypnorum var. hypnorum,Psoroma hypnorum
Squamaria hypnorum,Psoroma hypnorum
Pannaria hypnorum,Psoroma hypnorum
Sphaeria gloeospora,Leptosphaeria gloeospora
Heptameria gloeospora,Leptosphaeria gloeospora
Keissleriella gloeospora,Leptosphaeria gloeospora
Hygrocybe insipida f. subminutula,Hygrocybe insipida
Hygrophorus subminutulus,Hygrocybe insipida
Peziza uliginosa,Calycella uliginosa
Helotium uliginosum,Calycella uliginosa
Hymenoscyphus uliginosus,Calycella uliginosa
Mollisia fuscidula,Mollisia rehmii
Sphaeria adunca,Diaporthe adunca
Lichen resupinatus,Nephroma laevigatum
Peltigera tomentosa,Nephroma laevigatum
Nephromium tomentosum,Nephroma laevigatum
Nephromium resupinatum,Nephroma laevigatum
Phoma strobiligena var. microspora,Phoma strobiligena f. microspora
Leptostroma austriacum,Lophodermium seditiosum
Galactinia proteana,Peziza proteana f. proteana
Microthelia ventosicola,Muellerella ventosicola
Tichothecium pygmaeum var. ventosicola,Muellerella ventosicola
Muellerella pygmaea var. ventosicola,Muellerella ventosicola
Phaeangella smithiana,Phaeangellina empetri
Cenangium empetri,Phaeangellina empetri
Pseudophacidium smithianum,Phaeangellina empetri
Phaeangella empetri,Phaeangellina empetri
Microthelia subfuscicola,Arthonia subfuscicola
Gloeosporium crassipes,Colletotrichum crassipes
Agaricus furfuraceus � heterostichus,Tubaria furfuracea var. heterosticha
Tubaria furfuracea subsp. heterosticha,Tubaria furfuracea var. heterosticha
Tricholoma humile var. blandus,Agaricus blandus
Fusidium torulosum,Fusarium torulosum
Lichen atratus,Lecanidion atratum
Catolechia moriopsis,Orphniospora moriopsis var. moriopsis
Buellia atrata,Orphniospora moriopsis var. moriopsis
Buellia moriopsis,Orphniospora moriopsis var. moriopsis
Orphniospora atrata,Orphniospora moriopsis var. moriopsis
Stropharia cubensis,Psilocybe cubensis
Parmelia carneolutea,Cryptolechia carneolutea
Lichen carneoluteus,Cryptolechia carneolutea
Rinodina carneolutea,Cryptolechia carneolutea
Lecania carneolutea,Cryptolechia carneolutea
Gyalecta carneolutea,Cryptolechia carneolutea
Gyalectina carneolutea,Cryptolechia carneolutea
Leotia truncorum,Vibrissea truncorum
Peziza atrata,Pyrenopeziza atrata
Mollisia atrata,Pyrenopeziza atrata
Neobulgaria cf. lilacina,Neobulgaria
Neobulgaria cf. pura,Neobulgaria
Didymium nigripes var. genuinum,Didymium nigripes
Physarum nigripes,Didymium nigripes
Baeomyces turbinatus var. crispatus,Cladonia crispata var. crispata
Cladonia arborea,Cladonia crispata var. crispata
Cladonia rangiferina f. gracilescens,Cladonia crispata var. crispata
Cladonia crispata var. gracilescens,Cladonia crispata var. crispata
Tricholoma luteocitrinum,Hygrophorus lucorum
Clitocybe parilis,Rhodocybe parilis
Clitocybe inornata var. exilis,Clitocybe fuscosquamula
Peziza ampliata var. tectoria,Peziza cerea
Peziza muralis,Peziza cerea
Peziza tectoria,Peziza cerea
Aleuria cerea,Peziza cerea
Macroscyphus cerea,Peziza cerea
Geopyxis muralis,Peziza cerea
Peziza vesiculosa var. cerea,Peziza cerea
Aleuria muralis,Peziza cerea
Aleuria tectoria,Peziza cerea
Syzygospora bachmannii,Heterocephalacria bachmannii
Sirobasidium cerasi,Endostilbum cerasi
Geastrum quadrifidum,Geastrum britannicum
Agaricus lugubris,Phaeocollybia lugubris
Naucoria lugubris,Phaeocollybia lugubris
Xylosphaeria apiculatum,Apiorhynchostoma curreyi
Sphaeria curreyi,Zigno�lla collabens
Rhynchostoma apiculatum,Apiorhynchostoma curreyi
Apiorhynchostoma apiculatum,Apiorhynchostoma curreyi
Peziza alutacea,Otidea alutacea
Scodellina alutacea,Otidea alutacea
Peziza cochleata � alutacea,Otidea alutacea
